Player;Pos;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;PasPress;Sw;PasCrs;CK;CkIn;CkOut;CkStr;PasGround;PasLow;PasHigh;PaswHead;TI;PasCmp;PasOff;PasOut;PasInt;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Press;PresSucc;Press%;PresDef3rd;PresMid3rd;PresAtt3rd;Blocks;BlkSh;BlkShSv;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;DriSucc;DriAtt;DriSucc%;DriPast;DriMegs;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;RecTarg;Rec;Rec%;RecProg;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
p2;DF;0.06;1.02;0.25;25;0.06;0.25;22.8;0;0;0;20.3;31;65.5;403.9;204.6;8.34;10.3;80.9;8.22;11.8;69.4;3.18;6.56;48.5;0.13;1.15;1.4;1.59;1.15;2.36;31;24.8;6.24;0.06;0.06;3.89;1.34;3.18;0.7;0.19;0.51;0;14.4;6.5;10.1;0.7;5.48;20.3;0.06;0.7;0.89;2.23;2.36;1.72;0.13;0.19;0.06;0.13;0.13;0.19;0.19;0;0;0;0;1.72;0.83;0.7;0.51;0.51;0.51;1.27;40;0.76;12.2;3.5;28.8;3.95;4.9;3.31;1.53;0.25;0;1.27;1.53;3.25;1.78;0;42.9;2.93;12.3;17.1;16.9;1.27;36.8;1.59;3.76;42.4;1.85;0.32;25.9;150.3;88.4;4.71;0.89;0.57;1.34;1.15;30;23.5;78.3;2.42;1.08;0.45;0;3.18;0.83;0;0;0;5.99;0.7;1.59;30.6
p3;DF;0;1.11;1.11;100;0;0;10;0;0;0;26.7;28.9;92.3;533.3;84.4;10;11.1;90;13.3;13.3;100;3.33;4.44;75;0;0;1.11;0;0;1.11;28.9;27.8;1.11;1.11;0;2.22;1.11;0;0;0;0;0;24.4;2.22;2.22;1.11;0;26.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.11;0;1.11;0;0;1.11;2.22;50;1.11;10;2.22;22.2;8.89;1.11;0;0;0;0;0;2.22;3.33;1.11;0;38.9;2.22;20;14.4;4.44;3.33;37.8;0;0;0;0;0;25.6;121.1;50;3.33;0;0;2.22;0;27.8;27.8;100;1.11;1.11;0;0;0;0;0;0;0;2.22;1.11;2.22;33.3
p4;DF;0.04;0.3;0.09;28.6;0.14;0.5;6.2;0;0;0;36.6;41.1;88.9;770.2;213.5;10.3;11;94.1;20.6;22.1;93.3;5.54;7.88;70.3;0;0;1.08;0.04;0;1.34;41.1;40;1.08;0.95;0.04;2.99;1;0.09;0;0;0;0;32.4;2.64;6.1;2.25;0.04;36.6;0;0.78;0.17;0.09;0.26;0.22;0;0;0.04;0;0;0;0;0;0;0;0;0.48;0.22;0.39;0.09;0;0.17;0.35;50;0.17;4.63;1.52;32.7;2.51;1.56;0.56;1.65;1.17;0;0.48;2.03;2.51;6.06;0;52.2;11.3;30;23.5;1.52;0.69;51.2;0.09;0.17;50;0.13;0.04;29.9;147.1;74.5;1.43;0.22;0;0.17;0.09;33.4;32.7;97.9;0.13;0.52;0.43;0;0.09;0.22;0;0;0.04;7.1;2.38;1.08;68.8
p5;GK;0;0;0;0;0;0;0;0;0;0;23.3;33.3;70;616.7;263.3;3.33;3.33;100;13.3;13.3;100;6.67;16.7;40;0;0;0;0;0;0;33.3;23.3;10;0;0;0;0;0;0;0;0;0;13.3;3.33;16.7;0;0;23.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;36.7;40;0;0;0;30;0;0;0;0;0;13.3;100;43.3;0;0;0;0;0;13.3;13.3;100;0;0;0;0;0;0;0;0;0;3.33;0;0;0
p6;DF;0;0.49;0.11;22.2;0;0;17.8;0;0;0;50.2;56.6;88.8;1110.3;311.5;13.4;14.2;94.6;26.1;28.4;92.1;10.5;13.4;78.4;0.05;0.05;2.68;0.22;0.11;2.3;56.6;54.6;1.91;1.53;0.11;7.1;0.82;0.22;0;0;0;0;45.1;3.61;7.87;2.51;0.33;50.2;0.05;0.66;0.27;0.55;0.44;0.33;0;0;0.05;0;0.05;0;0;0;0;0;0;1.42;0.82;0.93;0.49;0;0.71;1.15;61.9;0.44;8.52;2.62;30.8;4.37;3.06;1.09;1.48;0.49;0;0.98;1.69;3.11;3.44;0;65.2;8.85;35.7;32.5;2.08;0.49;63.3;0.11;0.22;50;0.16;0;42.6;271.9;153.7;2.13;0.05;0;0.11;0.16;45.2;44.8;99;0.16;1.42;0.38;0.05;0.22;0.82;0;0.05;0;9.18;2.62;2.13;55.2
p7;MF;0.07;0.73;0.35;47.6;0.1;0.2;13.7;0;0;0;43.2;50.4;85.6;803;210.8;18.4;20.5;89.8;18.9;21;89.9;5.24;7.43;70.6;0.03;0.52;4.2;0.35;0.03;3.68;50.4;49.3;1.15;1.15;0.03;9.06;1.18;0.1;0;0;0;0;37.8;5;7.57;1.81;0;43.2;0.17;0.83;1.35;0.8;1.18;0.9;0.03;0;0;0.14;0.1;0.03;0.03;0;0;0;0;2.08;1.08;0.9;0.94;0.24;0.73;1.35;53.8;0.63;13.7;4.48;32.7;4.58;7.5;1.6;1.35;0.49;0;0.87;1.74;3.82;2.26;0;59.9;3.78;17;39.8;7.26;1.08;59;0.35;0.56;62.5;0.42;0;37.2;192.6;110.2;3.78;1.08;0;0.63;0.35;41.9;40.6;96.9;0.83;1.6;0.83;0.1;0.1;1.08;0;0;0;9.41;2.64;1.42;65
p8;MF;0.23;1.84;0.66;36.2;0.13;0.35;18.8;0;0;0;28.6;35.7;80.1;468;114.8;15;17.4;86.5;10.7;12.9;83.1;2.27;3.75;60.4;0.08;0.74;2.07;0.78;0.16;2.66;35.7;35.3;0.43;0.23;0;8.63;0.39;0.74;0;0;0;0;28.2;3.75;3.79;0.7;0.2;28.6;0.08;0.63;1.41;1.17;2.34;1.88;0;0.04;0.2;0.23;0;0.16;0.12;0;0;0.04;0;2.77;1.91;1.29;1.17;0.31;0.78;2.03;38.5;1.25;18.6;5.47;29.4;6.52;7.58;4.53;2.03;0.43;0.04;1.6;2.23;5;1.17;0.08;51.7;2.58;12.5;25.9;19.3;2.38;51.3;1.09;1.56;70;1.17;0.04;37.3;260.4;150.5;6.48;2.38;0.23;2.03;2.34;38.9;33.6;86.5;3.36;1.95;2.85;0;0.74;1.91;0;0.04;0;8.05;1.02;1.56;39.4
p9;MF;0.23;1.72;0.68;39.6;0.13;0.33;20.1;0.39;0;0;43.9;51.7;84.8;762.8;176.8;21.6;23.9;90.3;16.1;18.2;88.3;4.95;7.22;68.6;0.13;2.46;3.24;2.1;0.13;5.11;51.7;47.8;3.95;1.04;0.26;7.99;1.13;0.84;1;0.55;0.23;0.1;40.3;5.57;5.89;1.1;0.36;43.9;0.23;0.49;1.75;1.1;4.34;3.4;0.42;0.19;0.23;0.06;0.03;0.39;0.39;0;0;0;0;1.39;0.81;0.16;0.61;0.61;0.39;1.26;30.8;0.87;18.6;4.98;26.8;3.46;8.48;6.63;0.58;0.03;0;0.55;0.71;2.1;0.39;0.03;60.5;0.61;7.18;30.5;26.9;2.33;56.3;0.71;1.36;52.4;0.74;0.06;43.2;219.3;116.9;6.5;2.04;0.42;1.39;1.59;51.4;45;87.5;3.79;1.04;0.74;0.1;0.84;0.81;0;0.06;0;7.44;0.55;0.81;40.5
p10;FW;0.21;2.07;0.79;38;0.08;0.21;10.1;0;0.04;0.04;17.7;28.3;62.6;222.1;40.5;12;19.1;62.8;4.4;6.97;63.1;0.37;0.58;64.3;0.17;1.33;0.75;0.17;0;1.24;28.3;27.6;0.75;0.04;0;14.4;0.08;0.29;0;0;0;0;9.29;10.3;8.67;5.06;0.08;17.7;0.08;0.41;1.29;0.41;2.32;1.78;0;0.04;0.29;0.21;0;0.33;0.21;0;0;0.08;0;0.25;0.17;0.08;0;0.17;0.12;0.29;42.9;0.17;10.3;2.45;23.8;0.29;4.15;5.85;0.41;0.12;0;0.29;0.08;0.33;1.45;0;37.5;1.58;3.15;18.5;16.8;6.47;36.8;0.46;0.71;64.7;0.5;0.04;13.1;37.3;11;0.54;0.17;0.17;1.95;1.12;47.3;30.7;65;5.27;1.2;1.99;0.25;0.29;0.17;0.04;0;0;3.24;12.4;4.81;72
p11;MF;0.27;2.4;0.93;38.9;0.11;0.29;15.7;0;0;0;24.5;30.1;81.4;386.8;102.7;12.7;14.7;86.4;9.6;11.2;85.7;1.6;1.87;85.7;0.13;1.47;1.73;2.4;0;4.53;30.1;28.7;1.47;0.4;0.13;7.07;0.27;0;0;0;0;0;24.5;2.93;2.67;0.67;0.53;24.5;0;0.13;1.33;1.87;3.07;2.53;0;0.27;0.13;0;0.13;0.27;0.27;0;0;0;0;1.6;0.93;1.2;0.27;0.13;0.13;0.67;20;0.53;15.2;4.53;29.8;3.2;8.13;3.87;1.2;0.13;0;1.07;0.67;2.27;0;0;42.4;1.47;7.2;20.8;18.7;3.73;41.2;1.07;2.4;44.4;1.07;0.13;31.7;197.5;129.7;5.87;2.67;0.8;2.67;2;40.4;32.4;80.2;5.6;1.6;2.13;0.27;0;0.93;0;0;0;4.67;0.4;0.67;37.5
